LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-47.201.548;-18.473.851;coromandel;Sudeste;MG;3119302.0;93.4;92.7;97.2;96.5;95.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-54.073.662;-28.384.541;coronel barros;Sul;RS;4305871.0;100.0;100.0;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-53.709.128;-27.717.873;coronel bicaco;Sul;RS;4305900.0;77.8;85.7;89.7;94.7;0.0;85.7;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.034.539;-26.226.548;coronel domingos soares;Sul;PR;4106456.0;60.0;72.2;78.4;95.5;0.0;75.0;87.5;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-36.214.771;-6.383.402;coronel ezequiel;Nordeste;RN;2402808.0;68.4;72.7;93.8;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.624.347;-19.525.053;coronel fabriciano;Sudeste;MG;3119401.0;78.5;84.8;98.3;98.2;97.5;98.5;80.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.709.151;-26.903.251;coronel freitas;Sul;SC;4204400.0;100.0;100.0;98.1;96.2;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.318.912;-23.632.235;coronel macedo;Sudeste;SP;3512605.0;82.4;100.0;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.669.699;-26.511.638;coronel martins;Sul;SC;4204459.0;90.0;80.0;94.1;80.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.184.804;-16.610.268;coronel murta;Sudeste;MG;3119500.0;87.5;90.0;95.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-43.268.858;-21.576.415;coronel pacheco;Sudeste;MG;3119609.0;100.0;100.0;100.0;94.1;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
