terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Barra Velha;Pataxó;Porto Seguro;BA;8627,459;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2925303.0;Porto Seguro;Urbana;78,5;73,4;80,6;85,1;77,7;92,6;99,1;100;93;--
Barra Velha;Pataxó;Porto Seguro;BA;8627,459;Regularizada;Tradicionalmente ocupada;;Não;2022;Nordeste;BA;2925303.0;Porto Seguro;Rural;79,3;85,9;75;80,3;75,8;83,6;88,2;--;85,9;--
Barra Velha do Monte Pascoal;Pataxó;Porto Seguro;BA;52748;Delimitada;Tradicionalmente ocupada;Reestudo;Não;2022;Nordeste;BA;2925303.0;Porto Seguro;Total;78,9;78;78,4;83,1;77;88,4;98,1;100;89,7;--
Barra Velha do Monte Pascoal;Pataxó;Porto Seguro;BA;52748;Delimitada;Tradicionalmente ocupada;Reestudo;Não;2022;Nordeste;BA;2925303.0;Porto Seguro;Urbana;78,5;73,4;80,6;85,1;77,7;92,6;99,1;100;93;--
Barra Velha do Monte Pascoal;Pataxó;Porto Seguro;BA;52748;Delimitada;Tradicionalmente ocupada;Reestudo;Não;2022;Nordeste;BA;2925303.0;Porto Seguro;Rural;79,3;85,9;75;80,3;75,8;83,6;88,2;--;85,9;--
Barragem Norte;Xokléng;José Boiteux;SC;860,7268;Regularizada;Reserva Indígena;Principal;Não;2022;Sul;SC;4209151.0;José Boiteux;Total;78,6;100;60;68,4;78,4;65,7;63,6;--;40;--
Barragem Norte;Xokléng;José Boiteux;SC;860,7268;Regularizada;Reserva Indígena;Principal;Não;2022;Sul;SC;4209151.0;José Boiteux;Urbana;100;100;100;86,1;82,4;87,5;85;--;--;--
Barragem Norte;Xokléng;José Boiteux;SC;860,7268;Regularizada;Reserva Indígena;Principal;Não;2022;Sul;SC;4209151.0;José Boiteux;Rural;57,1;100;40;57,6;75;54,3;45,8;--;40;--
Barreira da Missão;Kambéba,Kokama;Tefé;AM;1772,4237;Regularizada;Dominial Indígena;;Não;2022;Norte;AM;1304203.0;Tefé;Total;80,3;78,5;81,8;85;89,4;81,3;98,9;100;78,5;--
Barreira da Missão;Kambéba,Kokama;Tefé;AM;1772,4237;Regularizada;Dominial Indígena;;Não;2022;Norte;AM;1304203.0;Tefé;Urbana;90,2;85;95,4;96,4;97;95,5;98,5;100;95,6;--
Barreira da Missão;Kambéba,Kokama;Tefé;AM;1772,4237;Regularizada;Dominial Indígena;;Não;2022;Norte;AM;1304203.0;Tefé;Rural;62,1;59,5;63,3;68,4;69,4;67,5;99,3;--;62,6;--
Barreirinha;Amanayé;Paragominas;PA;2373,8;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1505502.0;Paragominas;Total;89,4;82,1;91,9;96,4;94;97,7;98,9;87,9;98,9;--
Barreirinha;Amanayé;Paragominas;PA;2373,8;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1505502.0;Paragominas;Urbana;88,7;80,6;91,5;96,9;95,4;98,2;98,9;87,9;98,9;--
Barreirinha;Amanayé;Paragominas;PA;2373,8;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;PA;1505502.0;Paragominas;Rural;95,2;100;94,1;95,3;87,7;97,1;--;--;100;--
Barro Alto;Kokama;Tonantins;AM;1937,1679;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1304237.0;Tonantins;Total;28,1;27,8;28,9;56,2;52,7;59,4;100;100;53,8;0
Barro Alto;Kokama;Tonantins;AM;1937,1679;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1304237.0;Tonantins;Urbana;50;40;56,3;87,1;79,8;95,4;100;100;94,9;--
Barro Alto;Kokama;Tonantins;AM;1937,1679;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1304237.0;Tonantins;Rural;1,7;0;2;24;7,1;32,2;100;--;14,6;0
Barão de Antonina;Kaingang;São Jerônimo da Serra;PR;3750,722;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;PR;4124707.0;São Jerônimo da Serra;Total;78,3;87,5;74,4;82;75;86,6;95,8;--;100;100
Barão de Antonina;Kaingang;São Jerônimo da Serra;PR;3750,722;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;PR;4124707.0;São Jerônimo da Serra;Urbana;85,7;87,5;84,4;94,4;93,9;95,1;100;--;100;100
Barão de Antonina;Kaingang;São Jerônimo da Serra;PR;3750,722;Regularizada;Tradicionalmente ocupada;;Não;2022;Sul;PR;4124707.0;São Jerônimo da Serra;Rural;45,5;--;45,5;64;40,7;76,5;71,4;--;--;--
Batovi;Wauja;Gaúcha do Norte;MT;5158,9817;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5103858.0;Gaúcha do Norte;Total;75;88,9;63,6;53,6;68,9;49,5;72,2;--;22,2;--
Batovi;Wauja;Gaúcha do Norte;MT;5158,9817;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5103858.0;Gaúcha do Norte;Urbana;100;100;100;88,9;87,1;83,3;86,7;--;--;--
Batovi;Wauja;Gaúcha do Norte;MT;5158,9817;Regularizada;Tradicionalmente ocupada;;Não;2022;Centro-Oeste;MT;5103858.0;Gaúcha do Norte;Rural;16,7;0;20;31,4;28,6;33,3;61,9;--;22,2;--
