terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Faxinal;Kaingang;Cândido de Abreu;PR;2043,8948;Regularizada;Dominial Indígena;;Não
Fazenda Bahiana;Pataxó;Camamu;BA;304,56;Regularizada;Reserva Indígena;;Não
Fazenda Boa Vista - MG;Xucuru - Kariri;Caldas;MG;101;Regularizada;Reserva Indígena;;Não
Fazenda Canto;Xucuru - Kariri;Palmeira dos Índios;AL;276,5494;Regularizada;Reserva Indígena;;Não
Fazenda Cristo Rei;Pankararú;Jatobá;PE;0;Encaminhada RI;Reserva Indígena;;Não
Fazenda Guarani;Pataxó,Krenák;Senhora do Porto,Carmésia;MG;3269,7126;Regularizada;Tradicionalmente ocupada;;Não
Fazenda Jenipapeiro;Atikum;Santa Rita de Cássia;BA;1505,1308;Encaminhada RI;Reserva Indígena;;Não
Fazenda Mabel (Gavião/Akrãtikatêjê);Gavião Krikatejê;Bom Jesus do Tocantins, Marabá;PA;3600,0347;Encaminhada RI;Reserva Indígena;Principal;Não
Fazenda Remanso;Tuxá;Muquém de São Francisco;BA;336,9518;Regularizada;Reserva Indígena;;Não
Fazenda Sempre Verde;Pankararú;Muquém de São Francisco;BA;1000;Regularizada;Reserva Indígena;;Não
Fazenda Sítio;Tuxá;Quijingue;BA;409,8834;Regularizada;Reserva Indígena;;Não
Figueiras;Paresí;Barra do Bugres,Tangará da Serra;MT;9858,9291;Regularizada;Tradicionalmente ocupada;;Não
Fortaleza do Castanho;Múra;Manaquiri;AM;2756,1622;Regularizada;Tradicionalmente ocupada;;Não
Fortaleza do Patauá;Apurinã;Manacapuru;AM;743,5829;Regularizada;Tradicionalmente ocupada;;Não
Fulni-ô;Fulni-ô;Itaíba,Águas Belas;PE;11505,71;Regularizada;Reserva Indígena;;Não
Funil;Xerente ;Tocantínia;TO;15703,7974;Regularizada;Tradicionalmente ocupada;;Não
Galibi;Galibi do Oiapoque;Oiapoque;AP;6689,1928;Regularizada;Tradicionalmente ocupada;;Sim
Gavião;Múra;Careiro da Várzea;AM;8611,8548;Regularizada;Tradicionalmente ocupada;;Não
Geralda Toco Preto;Timbira;Arame,Itaipava do Grajaú;MA;18506,2081;Regularizada;Tradicionalmente ocupada;;Não
Geripancó;Jeripancó;Pariconha;AL;200;Regularizada;Tradicionalmente ocupada;;Não
Governador;Tenetehara,Gavião Pukobiê;Amarante do Maranhão;MA;41643,7567;Regularizada;Tradicionalmente ocupada;;Não
Guaimbé;Guarani Kaiowá;Laguna Carapã;MS;716,9316;Regularizada;Tradicionalmente ocupada;;Sim
Guajahã;Apurinã;Pauini;AM;5036,8446;Regularizada;Tradicionalmente ocupada;;Não
Guajanaíra;Guajajara;Itupiranga;PA;1368,0837;Encaminhada RI;Reserva Indígena;Principal;Não
Guanabara;Kokama;Benjamin Constant;AM;15600;Declarada;Tradicionalmente ocupada;;Sim
Guarani Araponga;Guaraní;Paraty;RJ;213,2033;Regularizada;Tradicionalmente ocupada;;Não
Guarani Barra do Ouro;Guaraní;Caraá,Riozinho,Maquiné;RS;2268,6045;Regularizada;Tradicionalmente ocupada;;Não
Guarani Votouro;Guaraní;Benjamin Constant do Sul;RS;717,377;Regularizada;Tradicionalmente ocupada;;Sim
Guarani da Barragem;Guarani Kaiowá;São Paulo;SP;26,3;Regularizada;Tradicionalmente ocupada;;Não
Guarani de Araçai;Guaraní;Cunha Porã,Saudades;SC;2721;Declarada;Tradicionalmente ocupada;;Sim
Guarani de Bracui;Guaraní;Angra dos Reis;RJ;2127,8664;Regularizada;Tradicionalmente ocupada;;Não
Guarani de Águas Brancas;Guaraní;Arambaré;RS;230;Declarada;Tradicionalmente ocupada;;Não
Guarani do Aguapeu;Guaraní;Mongaguá;SP;4372,2599;Regularizada;Tradicionalmente ocupada;;Não
Guarani do Ribeirão Silveira;Guaraní;São Sebastião,Santos;SP;948,4;Regularizada;Tradicionalmente ocupada;;Não
Guarita;Guaraní,Kaingang;Tenente Portela,Redentora,Erval Seco;RS;23406,8684;Regularizada;Tradicionalmente ocupada;;Sim
Guasuti;Guarani Kaiowá;Aral Moreira;MS;958,7993;Regularizada;Tradicionalmente ocupada;;Sim
Guató;Guató ;Corumbá;MS;10984,7941;Regularizada;Tradicionalmente ocupada;;Sim
Guaviraty;Guarani Mbya;Iguape;SP;1248;Delimitada;Tradicionalmente ocupada;;Não
Guyraroká;Guarani Kaiowá;Caarapó;MS;11440;Declarada;Tradicionalmente ocupada;;Sim
Herarekã Xetá;Xetá;Ivaté;PR;2686;Delimitada;Tradicionalmente ocupada;;Sim
Hi Merimã;Himarimã;Tapauá,Lábrea;AM;677840,3204;Regularizada;Tradicionalmente ocupada;;Não
Hãm Yîxux;Maxakali;Ladainha;MG;522,72;Regularizada;Reserva Indígena;;Não
Ibirama;Xokléng,Guaraní,Kaingang;Doutor Pedrinho,Vitor Meireles,José Boiteux,Itaiópolis;SC;14084,886;Regularizada;Tradicionalmente ocupada;;Não
Ibirama-La Klãnô;Xokléng,Guaraní,Kaingang;Rio Negrinho,Doutor Pedrinho,Vitor Meireles,José Boiteux,Itaiópolis;SC;37108;Declarada;Tradicionalmente ocupada;Reestudo;Não
Icatu;Terena,Kaingang;Braúna;SP;300,9625;Regularizada;Tradicionalmente ocupada;;Não
Igarapé Capana;Jamamadí;Boca do Acre;AM;122555,6647;Regularizada;Tradicionalmente ocupada;;Não
Igarapé Grande;Kambéba;Alvarães;AM;1539,6777;Regularizada;Tradicionalmente ocupada;;Não
Igarapé Lage;Pakaa Nova ;Guajará-Mirim,Nova Mamoré;RO;107321,1789;Regularizada;Tradicionalmente ocupada;;Sim
