LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-61.42059;3.652118;amajari;Norte;RR;1400027.0;38.0;36.1;59.0;73.0;0.0;81.1;0.0;Ananás;Makuxí;Tradicionalmente ocupada;Sim;sim
-61.314022;2.993823;alto alegre;Norte;RR;1400050.0;64.3;59.5;59.2;79.8;0.0;69.2;0.0;Anta;Wapixana;Tradicionalmente ocupada;Sim;sim
-61.314022;2.993823;alto alegre;Sudeste;SP;3501103.0;66.7;100.0;100.0;92.0;0.0;0.0;100.0;Anta;Wapixana;Tradicionalmente ocupada;Sim;sim
-61.314022;2.993823;alto alegre;Sul;RS;4300554.0;100.0;100.0;96.0;100.0;0.0;0.0;0.0;Anta;Wapixana;Tradicionalmente ocupada;Sim;sim
-60.670533;2.816682;boa vista;Norte;RR;1400100.0;90.2;92.6;93.1;94.8;92.3;87.5;0.0;Ouro;Makuxí;Tradicionalmente ocupada;Sim;sim
-60.670533;2.816682;boa vista;Nordeste;PB;2502151.0;82.1;78.9;93.2;100.0;0.0;100.0;0.0;Ouro;Makuxí;Tradicionalmente ocupada;Sim;sim
-59.878007;3.350289;bonfim;Norte;RR;1400159.0;84.6;85.7;67.6;69.0;100.0;61.7;0.0;Bom Jesus;Makuxí;Tradicionalmente ocupada;Sim;sim
-59.878007;3.350289;bonfim;Sudeste;MG;3108107.0;95.0;93.8;92.2;90.9;0.0;0.0;0.0;Bom Jesus;Makuxí;Tradicionalmente ocupada;Sim;sim
-59.69481;0.872675;caroebe;Norte;RR;1400233.0;100.0;100.0;81.3;86.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-61.052259;2.168215;iracema;Norte;RR;1400282.0;100.0;100.0;94.8;97.2;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-61.052259;2.168215;iracema;Nordeste;CE;2306009.0;96.2;95.7;100.0;100.0;0.0;88.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-59.635206;3.882978;normandia;Norte;RR;1400407.0;39.4;40.5;44.9;47.4;0.0;52.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-61.147306;4.475259;pacaraima;Norte;RR;1400456.0;58.2;57.9;49.6;52.1;0.0;48.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.884404;-1.72347;abaetetuba;Norte;PA;1500107.0;84.0;78.9;92.5;99.0;91.3;91.6;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.396762;-4.951391;abel figueiredo;Norte;PA;1500131.0;100.0;100.0;82.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.485275;-6.804949;ãgua azul do norte;Norte;PA;1500347.0;91.9;95.0;83.8;100.0;0.0;86.4;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-54.740862;-1.951398;alenquer;Norte;PA;1500404.0;94.2;94.3;98.3;99.1;0.0;97.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.576835;-1.527339;almeirim;Norte;PA;1500503.0;66.7;68.0;75.8;98.2;0.0;85.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.214376;-3.20566;altamira;Norte;PA;1500602.0;88.3;83.4;92.7;99.4;100.0;91.4;0.0;Baú;Kayapó;Tradicionalmente ocupada;Não;sim
-48.372067;-1.368714;ananindeua;Norte;PA;1500800.0;93.0;92.6;96.1;99.1;100.0;99.9;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.201622;-3.476105;anapu;Norte;PA;1500859.0;65.5;70.0;78.4;91.4;0.0;60.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-55.330734;-3.605595;aveiro;Norte;PA;1501006.0;66.7;66.7;62.0;100.0;0.0;64.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.221987;-1.889808;bagre;Norte;PA;1501105.0;88.5;88.5;73.5;100.0;0.0;91.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.406047;-7.351072;bannach;Norte;PA;1501253.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.627073;-1.505767;barcarena;Norte;PA;1501303.0;83.6;85.2;93.9;98.1;86.1;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-54.942675;-2.64902;belterra;Norte;PA;1501451.0;87.1;85.2;93.6;97.1;0.0;96.9;0.0;Bragança-Marituba;Mundurukú;Tradicionalmente ocupada;Não;sim
-48.241836;-1.361438;benevides;Norte;PA;1501501.0;98.7;99.0;99.0;100.0;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
